X,Y,Name: ,Address: ,Phone Number: ,,Website: ,Open for: ,Details:,Last Updated: 
-122.3878259,47.68694684,Cafe Munir,"2408 NW 80th St, Seattle, WA 98117",(206) 783-4190,,https://facebook.com/Cafe-Munir-117120638400154/,takeout,Serving To Go menu.  Open Tuesday - Saturday 4 - 9 for take out only.,2020/04/27 06:10:16.920+00
-122.3764724,47.67405857,Watson's Counter,"6201 15th Ave NW, Seattle, WA 98107",206-349-3283 (text),,https://www.facebook.com/watsonscounter/,takeout, text your orders in everyday from 9am to 2:30pm! 206-349-3283 (text only),2020/03/27 01:38:15.543+00
-122.3748182,47.67940909,Delancey,"1415 NW 70th St, Seattle, WA 98117",(206) 838-1960,,https://delanceyseattle.com/,takeout,,2020/03/27 01:38:15.543+00
-122.3839848,47.66782865,Porkchop & Co,"5451 Leary Ave NW, Seattle, WA 98107",(206) 257-5761,,https://www.eatatporkchop.com/,"takeout,delivery,third_party_delivery_service","Housemade bagels, breakfast burritos, buttermilk biscuits, and sandwiches. Open 9am-2pm. ",2020/03/27 01:38:15.543+00
-122.3430345,47.652975,Art of the Table,"3801 Stone Way N Suite A, Seattle, WA 98103",(206) 282-0942,,https://www.artofthetable.net/,"takeout,delivery","Meals will be available for pick up between 4:30-7:30pm. If  you live in close proximity to us, we can make arrangements to deliver. ",2020/03/27 01:38:15.543+00
-122.3423143,47.64957732,The Whale Wins,"3506 Stone Way N, Seattle, WA 98103",(206) 632-9425,,https://www.thewhalewins.com/,"takeout,curbside",,2020/03/27 01:38:15.543+00
-122.3443186,47.65408123,Kamonegi,"1054 N 39th St, Seattle, WA 98103",(206) 632-0185,,https://www.kamonegiseattle.com/,takeout,,2020/03/27 01:38:15.543+00
-122.3496442,47.65949545,Uneeda Burger,"4302 Fremont Ave N, Seattle, WA 98103",(206) 547-2600,,http://uneedaburger.com/,"takeout,third_party_delivery_service","Orders can be placed by phone or at the counter, or online.",2020/03/27 01:38:15.543+00
-122.3509272,47.65047509,El Camino,"607 N 35th St, Seattle, WA 98103",(206) 632-7303,,http://elcaminorestaurant.com/,"takeout,curbside,third_party_delivery_service",Open for take out from 4PM - 9PM (Tuesday - Saturday) or order and pay online for curbside pick-up! Margarita kits available with purchase of food,2020/03/27 01:38:15.543+00
-122.3473167,47.61819156,5 Point Cafe ,415 Cedar St,206.448.9991 ,,https://www.the5pointcafe.com/,"takeout,curbside,delivery,third_party_delivery_service","Call 206 285-9728 for curbside pickup for food & booze. Menu on our website (Pick up at Mecca) Delivery via Grubhub, Postmates & Uber Eats. 8am - 12am",2020/03/27 01:38:15.543+00
-122.3493422,47.65032384,Agrodolce,"709 N 35th St, Seattle, WA 98103",(206)547-9707,,https://www.agrodolcefremont.com/,"takeout,delivery,third_party_delivery_service","Open Tuesday - Saturday from 4:00 PM to 8:00 PM for pick-up.   
Check our website for pick-up specials.  ",2020/06/04 14:50:56.934+00
-122.3825398,47.66732429,Alison’s Coastal Cafe & Bakery ,5404 Leary Ave NW , 206.322.5028 ,,https://www.instagram.com/alisonscoastalcafe/,"takeout,delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00
-122.3544997,47.51615263,Anju Bar and Eatery ,9641 15th Ave SW , 206.397.4669 ,,https://anjuseattle.com/,"takeout,delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00
-122.3489049,47.61386308,Bang Bang Café - Belltown,2460 Western Ave., 206-448-2233,,https://www.bangbangseattle.com/cafe,"takeout,delivery,third_party_delivery_service",Open Tuesday-Saturday 10:00 AM - 2:00 PM.,2020/03/27 01:38:15.543+00
-122.3095732,47.57531685,Bar Del Corso,3057 Beacon Ave. S., 206-395-2069,,https://www.bardelcorso.com/,"takeout,third_party_delivery_service",,2020/03/27 01:38:15.543+00
-122.3393636,47.60942614,Ben Paris – The State Hotel  ,130 Pike St , 206.513.7300 ,,https://benparis.com/,takeout,,2020/03/27 01:38:15.543+00
-122.341928,47.66175707,Blue Star Cafe and Pub ,4512 Stone Way N , 206.548.0345 ,,https://www.bluestarcafeandpub.com/,"takeout,third_party_delivery_service",,2020/03/27 01:38:15.543+00
-122.3024181,47.58351724,Buddha Bruddah (Rainier),2201 Rainier Ave. S., 206-556-4134,,https://www.buddhabruddah.com/,"takeout,curbside,delivery,third_party_delivery_service","Monday - Thursday 11:30am - 8:00pm
Friday, Saturday 11:30am - 8:30pm
Sunday 4:00pm - 8:00pm",2020/05/17 15:33:36.158+00
-122.2938931,47.66158163,Burgermaster - Seattle,3040 NE 45th St , 206.525.7100 ,,https://burgermaster.biz/,"takeout,delivery,third_party_delivery_service",,2020/04/24 19:42:19.936+00
-122.3837436,47.65613097,Caffe Appassionato Coffee Company ,4001 21st Ave W , 206.281.8040 ,,https://caffeappassionato.com/,delivery,,2020/03/27 01:38:15.543+00
-122.3468164,47.64312393,Canlis,2576 Aurora Ave. N., 206-283-3313,,https://canlis.com/,delivery,,2020/03/27 01:38:15.543+00
-122.2987726,47.66247455,Delfino’s Chicago Style Pizza , 2631 NE University Village St , 206.972.5411 ,,https://delfinospizza.com,"takeout,delivery,third_party_delivery_service","Stock your freezer with our Take & Bake pizzas, order pick up or delivery.",2020/03/27 01:38:15.543+00
-122.2991053,47.66148545,Din Tai Fung University Village, 2621 NE 46th St., 206-525-0958,,https://dintaifungusa.com/locations.html,"delivery,third_party_delivery_service",Caviar https://www.trycaviar.com/seattle/din-tai-fung--university-village-6690,2020/04/25 23:55:46.477+00
-122.3207067,47.62251314,Due Cucina Italiana,412 Broadway E., 206-397-4375,,https://duecucina.com/,"takeout,delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00
-122.3865635,47.56039812,Elliott Bay Brewery & Pub - West Seattle ,"4720 California Ave SW, Seattle, WA 98116", 206.890.5478 ,,https://elliottbaybrewing.com,"takeout,curbside,delivery,third_party_delivery_service","Tues-Thurs 4pm-8pm
Fri-Sun 12pm-8pm
Closed Monday

Call 206-932-8695 to place order for pick-up

1/2 Price Growlers while on modified hours.",2020/04/30 14:53:57.571+00
-122.338811,47.46653682,Elliott Bay Brewhouse & Pub - Burien ,"255 SW 152nd St, Burien, WA 98166", 206.246.4212 ,,https://www.elliottbaybrewing.com/,"takeout,curbside","Tues-Fri 4pm-8pm
Sat-Sun 12pm-8pm
Closed Monday

Call 206-932-8695 to place order for pick-up

1/2 Price Growlers while on modified hours.",2020/04/30 14:54:23.806+00
-122.2950652,47.72031736,Elliott Bay Public House & Brewery - Lake City ,"12537 Lake City Way NE, Seattle, WA 98125", 206.365.2337 ,,https://elliottbaybrewing.com,"takeout,curbside,third_party_delivery_service","Tues-Fri 4pm-8pm
Sat-Sun 12pm-8pm
Closed Monday

Call 206-932-8695 to place order for pick-up

1/2 Price Growlers while on modified hours.",2020/04/30 14:55:28.023+00
-122.3165808,47.54957047,Fran’s Chocolates , 5900 Airport Way S  , 800.422.3726 ,,https://frans.com/,delivery,Currently offering:$5 shipping for all local deliveries.,2020/03/27 01:38:15.543+00
-122.3267766,47.6244225,Harrys Fine Foods,601 Bellevue Ave E, 206-513-6279,,http://www.harrysfinefoods.com/,"takeout,delivery",WE ARE OPEN FOR TAKE OUT AND DELIVERY DAILY FROM 11 A.M. TO 7 P.M,2020/03/27 01:38:15.543+00
-122.3856695,47.66791112,Hot Cakes , 5427 Ballard Ave NW , no phone ,,https://www.birthdaysdontstop.com/,delivery,,2020/03/27 01:38:15.543+00
-122.3232102,47.59852397,Jade Garden,424 7th Ave S, 206-622-8181,,http://jadegardenseattle.com/,"takeout,delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00
-122.3748364,47.66391326,Java Jahn,1428 N.W. Leary Way, 206-789-9441,,https://javajahn.com/,"takeout,delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00
-122.3202825,47.61166164,Jimmy’s on Broadway , 1100 Broadway , 206.204.1188 ,,https://jimmysonbroadway.com,"takeout,curbside,delivery,third_party_delivery_service",7am-9pm every day!,2020/04/30 00:49:55.800+00
-122.3311402,47.66118434,Kabul Afghan Cuisine,2301 N. 45th St., 206-545-9000,,https://kabulrestaurant.com/,"delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00
-122.3247017,47.59858415,Kau Kau,656 S. King St., 206-682-4006,,http://www.kaukaubbq.com/,"takeout,third_party_delivery_service","Our ""temporary""hours are 10 am - 8 pm daily (or whenever our BBQ meats sell out)
We are ""temporarily"" closing on Tuesdays now

",2020/03/27 01:38:15.543+00
-122.3021866,47.61917466,Kin Dee,2301 E Madison St, 206-453-5514,,https://www.kindeeseattle.com/,"takeout,delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00
-122.327708,47.61688225,Knee High Stocking Co.,1356 E. Olive Way, 206-979-7049,,http://www.kneehighstocking.com/,"delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00
-122.3241297,47.61394583,R&M Dessert Bar,"601 E Pike St, Seattle, WA 98122", 206-351-9993,,https://www.rmdessertbar.com/,"takeout,curbside,third_party_delivery_service","Hours
Sunday 4pm - 10pm
Monday 4pm - 10pm
Tuesday 4pm - 11pm
Wednesday 4pm - 11pm
Thursday 4pm - midnight
Friday & Saturday 4pm - midnight",2020/05/11 17:03:27.533+00
-122.3275886,47.61438688,Mamnoon , 1508 Melrose Ave , 206.906.9606 ,,https://mamnoonrestaurant.com/,"takeout,delivery,third_party_delivery_service","lunch/to-go menu: tue-fri 11:30am-8pmdinner/mama family meal: tue-sat 5pm-8pm,",2020/04/22 15:11:14.020+00
-122.3134941,47.61316658,Marjorie,"1412 E Union St, Seattle, WA 98122", 206-441-9842,,https://marjorierestaurant.com/,"delivery,third_party_delivery_service",,2020/05/11 17:03:09.367+00
-122.3870001,47.56038355,Mashiko,"4725 California Ave SW, Seattle, WA 98116", 206.935.4339 ,,https://www.mashikorestaurant.com/,"takeout,third_party_delivery_service","Sunday — Thursday
5:03pm to 9:00pm

Friday — Saturday
5:03pm to 10:00pm",2020/05/11 17:02:53.149+00
-122.3849378,47.66751068,Miro Tea,5405 Ballard Ave NW, 206-782-6832,,http://mirotea.com/,"delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00
-122.3348535,47.614185,Mr. WEST Café Bar - Downtown,"720 Olive Way, Seattle WA  98101", 206.900.9378 ,,http://mrwestcafebar.com/,"takeout,third_party_delivery_service","Mr. West has transformed into your essential neighborhood bodega.
Open for to-go coffee + food, retail beverages, and pantry items.  
 
",2020/05/08 03:20:29.354+00
-122.2982598,47.66206666,Mr. WEST Café Bar - U Village, 2685 Village Ln , 206.900.9378 ,,http://mrwestcafebar.com/,"takeout,third_party_delivery_service","Mr. West is now your essential neighborhood bodega.
Open for to-go coffee + food, retail beverages, and pantry items. 
 ",2020/03/27 01:38:15.543+00
-122.3428571,47.60945861,Old Stove Brewing Co.,1901 Western Ave. Suite A, 206-602-6120,,https://www.oldstove.com/,"takeout,third_party_delivery_service",,2020/03/27 01:38:15.543+00
-122.3304568,47.57382979,On Safari Foods , 3317 Third Ave S  , 206.932.9497 ,,https://www.onsafarifoods.com/online-ordering,"takeout,curbside,delivery",Offering sustainable options from vegan to antibiotic-free and humanely sourced meat dishes. ,2020/05/04 17:06:40.134+00
-122.357284,47.63796164,Paragon Seattle , 2125 Queen Anne Ave N , 206.283.4539 ,,https://www.paragonseattle.com/,takeout,,2020/03/27 01:38:15.543+00
-122.2980208,47.66212085,Piatti , 2695 NE Village Lane  , 206.524.9088 ,,https://seattle.piatti.com/,"takeout,delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00
-122.3440944,47.70223708,Pilgrim Coffeehouse , 10002 Aurora Ave N , 425.395.4982 ,,https://www.pilgrimcoffeehouse.com/,takeout,Questions?  INFO@PILGRIMCOFFEEHOUSE.COM,2020/03/27 01:38:15.543+00
-122.3172171,47.61353694,Plum Chopped , 1419 12th Ave , 206.612.8259 ,,https://plumbistro.com,"takeout,delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00
-122.2996459,47.6625436,Rachel’s Ginger Beer - U Village, 4626 26th Ave NE , no phone ,,https://rachelsgingerbeer.com/,"takeout,third_party_delivery_service",,2020/03/27 01:38:15.543+00
-122.3164998,47.61604853,Rachel’s Ginger Beer - 12th Ave, 1610 12th Ave , no phone ,,https://rachelsgingerbeer.com/,takeout,,2020/03/27 01:38:15.543+00
-122.3282636,47.61489313,Ristorante Machiavelli,1215 Pine St., 206-621-7941,,https://www.ristorantemachiavelli.com/,takeout,,2020/03/27 01:38:15.543+00
-122.3070411,47.62462625,Rocket Taco,602 19th Ave. E., 206-457-5355,,http://rocket-taco.com/seattle/,"takeout,delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00
-122.2803266,47.5540036,Sam Choy’s Poke to the Max , 5300 Rainier Ave S , 206.310.1979 ,,https://www.samchoyspoke.com/,"curbside,delivery,third_party_delivery_service",Online Order:  https://www.samchoyspoke.com/onlineorder,2020/03/27 01:38:15.543+00
-122.3771322,47.68158357,Sazon Kitchen,7301 15th Ave. N.W., 206-717-2827,,https://spark.adobe.com/page/fA6c9GFhgTJc3/,takeout,facebook/Instagram : @sazonkitchen206,2020/03/27 01:38:15.543+00
-122.2920817,47.73407182,Taco Bell - Seattle, 14506 Bothell Way NE , 206-367-4248 ,,,"takeout,delivery,third_party_delivery_service",,2020/04/15 23:01:04.046+00
-122.3246999,47.59820349,Tai Tung,655 S. King St., 206-622-7372,,https://www.taitungrestaurant.com/,takeout,,2020/03/27 01:38:15.543+00
-122.3159984,47.60646769,Taste of the Caribbean , 1212 E Jefferson St , 206.323.9112 ,,http://www.tasteofthecaribbeanseattle.com/,"takeout,delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00
-122.3307817,47.60681192,The 515 , 515 Madison St , 206.583.0300 ,,https://www.marriott.com/hotels/hotel-information/restaurant/seasm-renaissance-seattle-hotel/,takeout,,2020/03/27 01:38:15.543+00
-122.3874615,47.54657053,The Bridge , 6301 SW California Ave SW , 206.402.4606 ,,https://theBridgeSeattle.com,"takeout,curbside,third_party_delivery_service","4 pm-9 pm, Order curbside by calling (206)402-4606",2020/05/01 08:07:44.690+00
-122.343761,47.64884383,The Dock Sports Bar & Grill , 1102 N 34th St  , 206.829.8372 ,,http://fremontdock.com/,"takeout,third_party_delivery_service",,2020/03/27 01:38:15.543+00
-122.3307817,47.60681192,The Fig & The Judge , 515 Madison St ,(206)6944900,,https://www.marriott.com/hotels/hotel-information/restaurant/seasm-renaissance-seattle-hotel/,takeout,,2020/03/27 01:38:15.543+00
-122.3855578,47.66852977,The Matador - Ballard,2221 N.W. Market St.,206-297-2855,,https://matadorrestaurants.com/,"takeout,delivery,third_party_delivery_service",We're open Wednesday - Sunday from 11am - 8pm. Our Happy Hour menu is available for all takeout orders placed between 4-6pm! ,2020/03/27 01:38:15.543+00
-122.3563735,47.62411722,The Mecca Cafe , 526 Queen Anne Ave N  , 206.285.9728 ,,https://mecca-cafe.com/,"takeout,curbside,delivery,third_party_delivery_service","Call 206 285-9728 for curbside pickup for food & booze. Menu on our website.Delivery via Grubhub, Postmates & Uber Eats. 8am - 12am",2020/03/27 01:38:15.543+00
-122.3554998,47.68967975,The Yard Café , 8313 Greenwood Ave N , 206.588.1746 ,,http://theyardcafe.com/,takeout,"We have takeout! See our menu for items that are available during this time.
We sincerely appreciate your business! Stay well out there.",2020/03/27 01:38:15.543+00
-122.3400703,47.66119905,Tilth,1411 N. 45th St., 206-633-0801,,https://www.chefmariahines.com/,"takeout,third_party_delivery_service",Order online & pick up at Tilth Wed-Sun 12-7pm.,2020/03/27 01:38:15.543+00
-122.3715969,47.66524717,Trailbend Taproom , 1118 NW 50th St , 206.397.4374 ,,http://trailbendtaproom.com/,"takeout,third_party_delivery_service","Current hours:
Tuesday - Saturday, 4pm - 8pm",2020/03/27 01:38:15.543+00
-122.3178816,47.69378969,The Maple,8929 Roosevelt Way NE,206-402-6135,,https://www.themaplepub.com/,"takeout,delivery",Mon - Fri: 12pm - 8pm          Sat & Sun: 10:30 - 8pm; Brunch 10:30 - 2pm          Order online at www.themaplepub.com        Delivery 4pm - 8pm daily,2020/03/27 01:38:15.543+00
-122.3374434,47.60885834,Wild Ginger,"1401 3rd Ave, Seattle, WA 98101",206.707.0396,,https://www.wildginger.net/,"takeout,third_party_delivery_service",,2020/03/27 01:38:15.543+00
-122.3402561,47.46669865,Burien Press,"423 SW 152nd St Burien, WA 98166",(206) 453-5412,,https://www.facebook.com/burienpress/,takeout,"Offering Coffee, house made food, wine, and growlers. 

Mobile preorder available through Toast Takeout at https://www.toasttab.com/burienpress/v3",2020/04/27 01:53:23.661+00
-122.3548098,47.51665482,Moonshot Coffee,"9622 16th Ave SW, White Center, WA, 98106",(206) 620-0315,,https://www.facebook.com/moonshotcoffee/,takeout,,2020/03/27 01:38:15.543+00
-122.3549485,47.51673362,Proletariat Pizza,"9622 16th Ave SW, White Center, WA, 98106",206-432-9765,,https://proletariatpizza.com,"takeout,delivery",,2020/03/27 01:38:15.543+00
-122.381287,47.66458563,Ballard Pizza Company - Ballard,5107 Ballard Ave NW,,,https://ethanstowellrestaurants.com/order,"takeout,third_party_delivery_service",Offering takeout and delivery 7 days a week from 4pm to 9pm. ,2020/03/27 01:38:15.543+00
-122.2607197,47.44434181,Famous Dave's BBQ,"17770 S Center Pkwy, Tukwila, WA",206.631.2000,,https://togo.famousdaves.com,curbside,"Through April 15, order online using code DAVECARES for 20% off all take-out orders of $15 or more! We’ll run it out to you curbside.",2020/04/16 02:14:31.189+00
-122.3617275,47.656359,Ballard Pizza Company - Freelard,"4010 Leary Way NW, Seattle WA",,,https://ethanstowellrestaurants.com/order,"takeout,curbside,third_party_delivery_service",Offering takeout and delivery 7 days a week from 4pm to 9pm. Takeout features curbside pickup.,2020/03/27 01:38:15.543+00
-122.284845,47.557989,Geraldine's Counter,4872 Rainier Ave S,206-420-1649,,https://geraldinescounter.com,"takeout,curbside","10am - 6pm Wed, Thur & Friday
9am - 2pm Sat and Sun
Closed Mon and Tue
",2020/03/27 01:38:15.543+00
-122.3872847,47.67562138,Copine,"6460 24th Ave NW, Seattle, WA 98107",(206) 258-2467,,https://www.copineseattle.com/,takeout,We are offering take away Thursday-Sundays - https://www.copineseattle.com/to-go/#sunday-supper,2020/03/27 01:38:15.543+00
-122.3567081,47.63871149,How to Cook a Wolf,"2208 Queen Anne Ave N, Seattle WA",,,https://ethanstowellrestaurants.com/order,"takeout,delivery","You may order take-out and delivery from Tavolàta Capitol Hill, Rione XIII, Red Cow, How to Cook a Wolf, Ballard Pizza Co, and Frelard Pizza Co. ",2020/03/27 01:38:15.543+00
-122.3489937,47.6150624,Jerk Shack,"2510 1st Ave Seattle, WA 98121",(206) 441-7817,,https://jerkshackseattle.com/,takeout,,2020/03/27 01:38:15.543+00
-122.3575829,47.61820499,The Boat Street Kitchen & Bistro,"3131 Western Ave, Ste 301 Seattle, WA 98121",,,https://www.boatstreetkitchen.com/,"takeout,curbside",,2020/03/27 01:38:15.543+00
-122.3338513,47.60427462,Metropolitan Grill,"820 Second Avenue Seattle, WA 98104",206.624.3287,,https://www.themetropolitangrill.com/,curbside,Curbside Pick Up: Call 206.624.3287 to place your order. Available 4-8pm daily.,2020/03/27 01:38:15.543+00
-122.3366535,47.62224,LOCAL Public Eatery,"404 Terry Ave N, Seattle, WA 98109",206.257.1888,,https://localpubliceatery.com/neighbourhoods/terry-ave/,"curbside,third_party_delivery_service",All LOCAL locations will be offering curbside pick-up & delivery only.,2020/05/11 17:02:12.691+00
-122.3546985,47.69140149,Gainsbourg,8550 Greenwood Avenue North Seattle,(206) 783-4004,,http://gainsbourglounge.com/,takeout,Hours for takeout are 4pm until 9pm.,2020/03/27 01:38:15.543+00
-122.3423742,47.60992883,Piroshky Piroshky,1908 Pike Place Seattle,206-764-1000,,https://www.piroshkybakery.com/,"takeout,delivery,third_party_delivery_service",​Call (206) 764-1000 or stop by the restaurant. Open daily 8 a.m. - 7 p.m.,2020/03/27 01:38:15.543+00
-122.3376165,47.604915,Nijo Sushi,"83 Spring Street Seattle, WA 98104",206-340-8880 ,,https://nijosushi.com/,"takeout,curbside,delivery",Hours: M-F 12-8pm; Sat: 4-8pm. Delivery and curbside pick up service available. Order using ChowNow and website. ,2020/03/27 01:38:15.543+00
-122.3394093,47.62053408,Jack's BBQ - SLU,228 9th Ave N Seattle WA 98109,206.467.4038,,http://jacksbbq.com/,"takeout,third_party_delivery_service",,2020/03/27 01:38:15.543+00
-122.3270505,47.614293,Noren Sushi Kitchen & Bar,"320 E PIKE ST, Seattle, WA 98122",206-327-9269,,https://www.norensushi.com,"curbside,third_party_delivery_service",,2020/03/27 01:38:15.543+00
-122.3399835,47.610954,Patagon,"1610 2nd Ave, Seattle WA",206.256.7520,,https://patagonseattle.com,"takeout,third_party_delivery_service",Offering pick-up orders which are available from 11am-9pm daily by phone. ,2020/03/27 01:38:15.543+00
-122.3625254,47.57000207,Skylark Cafe,"3803 Delridge Way SW, Seattle, WA 98106",206.935.2111,,https://www.skylarkcafe.com/,delivery,"We are now open Monday, Wednesday, Friday, and Saturday 3-8 for delivery only.  FREE delivery in West Seattle",2020/03/27 01:38:15.543+00
-122.3194722,47.61314936,Soi Capitol Hill,"1400 10th Ave Seattle, WA 98122",206-556-4853,,https://soicapitolhill.com/,"takeout,third_party_delivery_service",We will be open 12pm-8pm for take out only.,2020/03/27 01:38:15.543+00
-122.3763795,47.687031,The Dane,"8000 15th Ave NW, Seattle WA 98117",206.297.4441,,https://thedaneseattle.com,takeout,"9am - 3PM  THURSDAY MARCH 19 until further update
Walk up to our garage door to order #WeGotThisSeattle",2020/03/27 01:38:15.543+00
-122.3336159,47.60160889,The Halal Guys,"105 Yesler Way, Seattle WA",206.467.1178,,https://yeslerwayseattlewa.thehalalguys.com,"takeout,third_party_delivery_service",,2020/03/27 01:38:15.543+00
-122.2959865,47.57764413,Viengthong Restaurant,"2820 Martin Luther King Jr Way S, Seattle WA",206.725.3884,,https://facebook.com/Viengthong206,"takeout,third_party_delivery_service",Call us at 206 725-3884 for pick up or order via Grub Hub for delivery. ,2020/03/27 01:38:15.543+00
-122.3549716,47.68610386,Wing Dome - Greenwood,"7818 Greenwood Avenue N, Seattle, WA",206.623.2066,,https://thewingdome.com/,"takeout,third_party_delivery_service",,2020/03/27 01:38:15.543+00
-122.3870667,47.56519795,Raccolto,"4147 California Ave SW, Seattle, WA 98116",206-397-3775,,http://www.raccoltoseattle.com/,takeout,Meals will be available for pick up from 12pm to 10pm.,2020/03/27 01:38:15.543+00
-122.386155,47.58282229,Yen Wor Village - Seattle,"2300 California Ave SW, Seattle, WA 98116",(206) 932-1455,,https://www.yenworvillagewa.com/,"takeout,delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00
-122.3867043,47.58415314,Mioposto Pizzeria - West Seattle,"2139 California Ave SW, Seattle, WA 98116",(206) 466-2677,,https://www.miopostopizza.com/,"takeout,curbside,delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00
-122.2801859,47.53691176,Bang Bang Kitchen (Othello),"4219 S Othello St,  Seattle, WA 98118",(206) 420-3146,,https://www.bangbangseattle.com/,"takeout,third_party_delivery_service","We are still open 5:00 - 9:00 PM every night for takeout and delivery! 
",2020/03/27 01:38:15.543+00
-122.2613583,47.52006187,Jude's,"9252 57th Avenue S., Seattle, WA 98118",206.379.6629,,https://www.judesoldtown.com/,takeout,Our take out window will be open from 5-8pm (credit card only please). Text or call in your order to 206-379-6629. ,2020/03/27 01:38:15.543+00
-122.3197656,47.67572692,Wayward Vegan Cafe,"801 NE 65th St Suite C, Seattle WA",206.524.0204,,http://www.waywardvegancafe.com/,"takeout,third_party_delivery_service",,2020/03/27 01:38:15.543+00
-122.3867166,47.58256006,Arthur's,"2311 California Ave SW, Seattle, WA 98116",206.829.8235,,https://www.arthursseattle.com/#arthurscollective,"takeout,curbside",we’ve got you covered for takeaway with curbside pickup.,2020/05/11 17:01:44.436+00
-122.3164845,47.607003,Ba Bar Capitol Hill,"550 12th Avenue Seattle, WA 98122",206.328.2030,,https://babarseattle.com/capitol-hill/,"takeout,third_party_delivery_service",We encourage take-out or delivery via third party apps or take advantage of 20% off all call in take out orders with curbside pickup.,2020/03/27 01:38:15.543+00
-122.3805703,47.58942356,Marination ma kai,"1660 Harbor Ave SW, Seattle, WA 98126",(206) 328-8226,,https://marinationmobile.com,takeout,Mon-Sunday:  3 PM - 8 PM  Takeout: https://togoorder.com/web/2781#/,2020/06/10 18:12:09.077+00
